name,name_2,id,goal_assist,goals,expected_goals_per_90,expected_assists_per_90,rating,nation,pos,squad,born,comp
Lamine Yamal,goals,1467236,12.0,7.0,0.31,0.39,8.01,es ESP,FW,Barcelona,2007.0,La Liga
Raphinha,goals,696679,9.0,18.0,0.66,0.33,7.95,br BRA,FW,Barcelona,1996.0,La Liga
Kylian Mbappé,goals,701154,3.0,27.0,0.77,0.2,7.92,fr FRA,FW,Real Madrid,1998.0,La Liga
Pedri,goals,1083323,5.0,4.0,0.07,0.29,7.78,es ESP,MF,Barcelona,2002.0,La Liga
Isco,goals,191315,7.0,8.0,0.5,0.22,7.69,es ESP,MF,Betis,1992.0,La Liga
Jude Bellingham,goals,1077894,8.0,8.0,0.39,0.16,7.55,eng ENG,MF,Real Madrid,2003.0,La Liga
Federico Valverde,goals,743533,4.0,6.0,0.08,0.09,7.55,uy URU,MF,Real Madrid,1998.0,La Liga
Vinicius Junior,goals,846033,7.0,11.0,0.42,0.27,7.52,br BRA,FW,Real Madrid,2000.0,La Liga
Robert Lewandowski,goals,93447,2.0,25.0,0.9,0.05,7.52,pl POL,FW,Barcelona,1988.0,La Liga
Álex Baena,goals,942372,8.0,6.0,0.24,0.45,7.49,es ESP,MF,Villarreal,2001.0,La Liga
Iñigo Martinez,goals,789123,4.0,0.0,0.02,0.07,7.41,es ESP,DF,Barcelona,1991.0,La Liga
Rodrygo,goals,895362,5.0,6.0,0.19,0.19,7.36,br BRA,FW,Real Madrid,2001.0,La Liga
Yeray Álvarez,goals,639450,0.0,1.0,0.03,0.02,7.35,es ESP,DF,Athletic Club,1995.0,La Liga
Daniel Vivian,goals,940743,0.0,3.0,0.06,0.03,7.35,es ESP,DF,Athletic Club,1999.0,La Liga
Marcos Llorente,goals,602563,4.0,2.0,0.03,0.12,7.3,es ESP,MF,Atlético Madrid,1995.0,La Liga
Ayoze Pérez,goals,479020,2.0,16.0,0.59,0.09,7.3,es ESP,FW,Villarreal,1993.0,La Liga
Jules Koundé,goals,705450,3.0,2.0,0.06,0.13,7.28,fr FRA,DF,Barcelona,1998.0,La Liga
Daniel Raba,goals,784246,6.0,7.0,0.36,0.21,7.27,es ESP,MF,Leganés,1996.0,La Liga
Pablo Barrios,goals,1338192,4.0,1.0,0.05,0.07,7.27,es ESP,MF,Atlético Madrid,2003.0,La Liga
Luis Milla,goals,638090,4.0,1.0,0.06,0.16,7.26,es ESP,MF,Getafe,1994.0,La Liga
Sergi Cardona,goals,1059657,7.0,1.0,0.08,0.14,7.25,es ESP,DF,Villarreal,1999.0,La Liga
Joan Garcia,goals,1167220,0.0,0.0,0.0,0.0,7.24,es ESP,GK,Espanyol,2001.0,La Liga
Dani Olmo,goals,614834,2.0,9.0,0.46,0.29,7.23,es ESP,MF,Barcelona,1998.0,La Liga
Giovani Lo Celso,goals,604126,2.0,8.0,0.31,0.31,7.22,ar ARG,MF,Betis,1996.0,La Liga
Diego Rico,goals,488718,3.0,0.0,0.01,0.11,7.22,es ESP,DF,Getafe,1993.0,La Liga
Aurélien Tchouaméni,goals,914458,0.0,0.0,0.05,0.03,7.21,fr FRA,MF,Real Madrid,2000.0,La Liga
Eduardo Camavinga,goals,1015185,2.0,1.0,0.04,0.06,7.21,fr FRA,MF,Real Madrid,2002.0,La Liga
Unai Simon,goals,660625,0.0,0.0,0.0,0.0,7.2,es ESP,GK,Athletic Bilbao,1997.0,La Liga
Antoine Griezmann,goals,184138,6.0,8.0,0.25,0.22,7.19,fr FRA,FW,Atlético Madrid,1991.0,La Liga
Ferran Torres,goals,881771,6.0,10.0,0.65,0.21,7.19,es ESP,FW,Barcelona,2000.0,La Liga
Oscar Mingueza,goals,952095,6.0,4.0,0.05,0.21,7.19,es ESP,DF,Celta Vigo,1998.0,La Liga
Yuri Berchiche,goals,80295,2.0,0.0,0.03,0.1,7.17,es ESP,DF,Athletic Club,1990.0,La Liga
Nayef Aguerd,goals,617310,0.0,0.0,0.12,0.01,7.17,ma MAR,DF,Real Sociedad,1996.0,La Liga
Omar Alderete,goals,751998,0.0,1.0,0.05,0.03,7.17,py PAR,DF,Getafe,1996.0,La Liga
